gameId,gameDuration,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKillsTeam1,inhibitorKillsTeam1,towerKillsTeam2,inhibitorKillsTeam2,T1_P1_participantId,T1_P1_championId,T1_P1_highestAchievedSeasonTier,T1_P1_lane/role,T1_P1_kills,T1_P1_deaths,T1_P1_assists,T1_P1_largestKillingSpree,T1_P1_longestTimeSpentLiving,T1_P1_totalDamageDealt,T1_P1_totalDamageDealtToChampions,T1_P1_goldEarned,T1_P1_goldSpent,T1_P1_champLevel,T1_P2_participantId,T1_P2_championId,T1_P2_highestAchievedSeasonTier,T1_P2_lane/role,T1_P2_kills,T1_P2_deaths,T1_P2_assists,T1_P2_largestKillingSpree,T1_P2_longestTimeSpentLiving,T1_P2_totalDamageDealt,T1_P2_totalDamageDealtToChampions,T1_P2_goldEarned,T1_P2_goldSpent,T1_P2_champLevel,T1_P3_participantId,T1_P3_championId,T1_P3_highestAchievedSeasonTier,T1_P3_lane/role,T1_P3_kills,T1_P3_deaths,T1_P3_assists,T1_P3_largestKillingSpree,T1_P3_largestMultiKill,T1_P3_longestTimeSpentLiving,T1_P3_totalDamageDealt,T1_P3_totalDamageDealtToChampions,T1_P3_goldEarned,T1_P3_goldSpent,T1_P3_champLevel,T1_P4_participantId,T1_P4_championId,T1_P4_highestAchievedSeasonTier,T1_P4_lane/role,T1_P4_kills,T1_P4_deaths,T1_P4_assists,T1_P4_largestKillingSpree,T1_P4_longestTimeSpentLiving,T1_P4_totalDamageDealt,T1_P4_totalDamageDealtToChampions,T1_P4_goldEarned,T1_P4_goldSpent,T1_P4_champLevel,T1_P5_participantId,T1_P5_championId,T1_P5_highestAchievedSeasonTier,T1_P5_lane/role,T1_P5_kills,T1_P5_deaths,T1_P5_assists,T1_P5_largestKillingSpree,T1_P5_largestMultiKill,T1_P5_totalDamageDealt,T1_P5_totalDamageDealtToChampions,T1_P5_goldEarned,T1_P5_goldSpent,T1_P5_champLevel,T2_P1_participantId,T2_P1_championId,T2_P1_highestAchievedSeasonTier,T2_P1_lane/role,T2_P1_kills,T2_P1_deaths,T2_P1_assists,T2_P1_largestKillingSpree,T2_P1_longestTimeSpentLiving,T2_P1_totalDamageDealt,T2_P1_totalDamageDealtToChampions,T2_P1_goldEarned,T2_P1_goldSpent,T2_P1_champLevel,T2_P2_participantId,T2_P2_championId,T2_P2_highestAchievedSeasonTier,T2_P2_lane/role,T2_P2_kills,T2_P2_deaths,T2_P2_assists,T2_P2_largestKillingSpree,T2_P2_largestMultiKill,T2_P2_longestTimeSpentLiving,T2_P2_totalDamageDealt,T2_P2_totalDamageDealtToChampions,T2_P2_goldEarned,T2_P2_goldSpent,T2_P2_champLevel,T2_P3_participantId,T2_P3_championId,T2_P3_highestAchievedSeasonTier,T2_P3_lane/role,T2_P3_kills,T2_P3_deaths,T2_P3_assists,T2_P3_largestKillingSpree,T2_P3_largestMultiKill,T2_P3_longestTimeSpentLiving,T2_P3_totalDamageDealt,T2_P3_totalDamageDealtToChampions,T2_P3_goldEarned,T2_P3_goldSpent,T2_P3_champLevel,T2_P4_participantId,T2_P4_championId,T2_P4_highestAchievedSeasonTier,T2_P4_lane/role,T2_P4_kills,T2_P4_deaths,T2_P4_assists,T2_P4_largestKillingSpree,T2_P4_largestMultiKill,T2_P4_longestTimeSpentLiving,T2_P4_totalDamageDealt,T2_P4_magicDamageDealt,T2_P4_trueDamageDealtToChampions,T2_P4_goldEarned,T2_P4_goldSpent,T2_P4_champLevel,T2_P5_participantId,T2_P5_championId,T2_P5_highestAchievedSeasonTier,T2_P5_lane/role,T2_P5_kills,T2_P5_deaths,T2_P5_assists,T2_P5_largestKillingSpree,T2_P5_largestMultiKill,T2_P5_longestTimeSpentLiving,T2_P5_totalDamageDealt,T2_P5_totalDamageDealtToChampions,T2_P5_goldEarned,T2_P5_goldSpent,T2_P5_champLevel
1675507159,1797,2,1,0,2,2,1,0,4,0,8,2,1,105,DIAMOND,MIDDLE/SOLO,8,5,4,5,590,87895,13783,11053,10700,14,2,58,MASTER,TOP/SOLO,7,8,3,2,336,120383,16321,11314,10475,15,3,267,NONE,BOTTOM/DUO_SUPPORT,1,7,11,0,1,639,20383,10236,8698,8025,12,4,56,DIAMOND,JUNGLE/NONE,5,9,8,2,332,153866,15767,10728,10600,14,5,498,PLATINUM,BOTTOM/DUO_CARRY,6,5,2,3,2,154408,22183,11738,10975,13,6,113,MASTER,JUNGLE/NONE,7,1,12,5,209,207362,19477,14103,11375,17,7,92,NONE,TOP/SOLO,6,4,4,4,1,583,160956,14742,13439,13325,17,8,55,DIAMOND,MIDDLE/SOLO,16,4,6,8,2,826,148513,34701,15028,13375,16,9,236,DIAMOND,BOTTOM/DUO_CARRY,3,8,8,2,1,375,114366,6566,64,10147,8200,14,10,40,PLATINUM,BOTTOM/DUO_SUPPORT,2,10,16,2,1,234,19197,6660,8363,7325,13
1675473881,1550,2,2,2,2,2,1,2,2,0,7,1,1,64,DIAMOND,JUNGLE/NONE,1,5,1,0,464,96501,5804,7003,6750,11,2,110,DIAMOND,BOTTOM/DUO_CARRY,6,4,0,5,944,113140,10265,11021,10450,12,3,24,DIAMOND,TOP/SOLO,0,4,1,0,0,573,94017,5090,7424,7183,13,4,26,DIAMOND,MIDDLE/SOLO,0,1,1,0,180,126893,7731,7997,6450,14,5,43,MASTER,BOTTOM/DUO_SUPPORT,0,6,5,0,0,24248,7403,6256,5975,11,6,60,MASTER,JUNGLE/NONE,7,1,5,4,582,152548,14651,11225,8050,15,7,92,NONE,TOP/DUO,5,0,5,5,2,0,153797,14395,12864,11875,15,8,267,DIAMOND,BOTTOM/DUO_SUPPORT,2,3,7,2,1,547,11172,4737,6447,5650,12,9,117,MASTER,TOP/DUO,5,0,5,5,1,0,133021,110320,102,10362,7935,15,10,81,DIAMOND,BOTTOM/DUO_CARRY,1,3,4,0,1,575,114261,10202,9375,7905,13
1675418809,2406,1,1,0,1,1,1,2,10,3,3,0,1,517,PLATINUM,MIDDLE/SOLO,4,8,10,2,492,200502,26402,14613,13225,18,2,43,MASTER,TOP/SOLO,4,4,8,2,683,207400,24197,15698,15360,18,3,51,PLATINUM,BOTTOM/DUO_CARRY,7,3,8,5,3,910,281911,31353,17870,14075,18,4,143,CHALLENGER,BOTTOM/DUO_SUPPORT,7,9,8,2,907,98390,29460,13676,13550,16,5,29,DIAMOND,JUNGLE/NONE,11,8,12,5,2,270917,44220,17314,16350,18,6,67,DIAMOND,BOTTOM/DUO_CARRY,2,11,7,0,432,157307,15157,12781,11675,17,7,26,DIAMOND,TOP/DUO,4,1,18,4,2,2373,228081,20382,13865,12795,18,8,267,DIAMOND,BOTTOM/DUO_SUPPORT,2,6,17,2,1,771,18240,10216,9863,8950,15,9,30,MASTER,JUNGLE/NONE,14,10,5,3,2,422,263645,239112,1932,16280,14635,18,10,114,DIAMOND,TOP/DUO,10,5,6,5,2,936,276137,29763,19615,19208,18
1675393648,2112,1,2,0,1,1,1,1,11,5,2,0,1,518,CHALLENGER,MIDDLE/SOLO,4,9,8,2,800,184263,16445,14049,13775,17,2,110,DIAMOND,BOTTOM/SOLO,6,10,11,2,334,209959,26773,15350,14800,17,3,64,MASTER,JUNGLE/NONE,9,6,12,2,1,371,226563,17481,16151,14465,18,4,39,DIAMOND,TOP/SOLO,13,5,9,8,819,243244,27507,18287,16908,18,5,25,NONE,JUNGLE/NONE,5,7,15,4,2,32766,16597,11855,10425,14,6,145,DIAMOND,BOTTOM/DUO_CARRY,14,5,9,7,526,307580,36721,19313,20675,18,7,117,DIAMOND,BOTTOM/DUO_SUPPORT,6,9,20,2,1,363,24025,8887,10488,9850,16,8,82,DIAMOND,JUNGLE/NONE,10,12,10,2,2,334,190535,35701,14947,14365,17,9,555,DIAMOND,TOP/SOLO,6,9,6,4,1,400,92777,91,748,9837,9600,16,10,26,DIAMOND,MIDDLE/SOLO,1,2,16,0,1,809,221048,10579,11586,10060,18
1675321946,1734,1,1,0,1,1,2,2,11,4,1,0,1,30,MASTER,JUNGLE/NONE,12,4,8,7,813,203878,24016,14682,12650,17,2,145,NONE,BOTTOM/DUO_CARRY,13,7,10,4,463,170812,23379,16203,13580,17,3,157,DIAMOND,TOP/DUO,12,7,5,8,2,740,214743,24346,15842,14705,17,4,79,DIAMOND,TOP/DUO,5,4,11,2,533,135815,25132,11762,11840,16,5,43,MASTER,BOTTOM/DUO_SUPPORT,1,9,23,0,1,29676,11504,9579,8525,15,6,498,NONE,BOTTOM/DUO_CARRY,6,10,9,0,458,170710,17211,13149,12950,15,7,412,CHALLENGER,BOTTOM/DUO_SUPPORT,2,5,14,2,1,893,23475,6234,8530,8025,14,8,238,DIAMOND,MIDDLE/DUO,9,9,6,3,1,425,149051,20488,13615,13500,17,9,82,CHALLENGER,MIDDLE/DUO,4,11,4,0,1,431,115987,96563,389,9447,8950,16,10,5,CHALLENGER,JUNGLE/NONE,10,8,7,2,1,445,141373,17388,11657,11333,15
1675125519,1877,2,2,2,2,2,2,2,2,0,11,4,1,267,MASTER,BOTTOM/DUO_SUPPORT,3,8,20,3,359,31112,13082,9518,9400,15,2,30,DIAMOND,JUNGLE/NONE,8,13,12,2,228,250235,33324,14569,13960,17,3,122,MASTER,MIDDLE/DUO,7,7,4,5,2,754,180649,23510,13159,12925,17,4,8,MASTER,MIDDLE/DUO,6,13,7,0,330,173462,20547,11979,11625,16,5,39,MASTER,BOTTOM/DUO_CARRY,10,7,8,3,2,208162,20054,16633,17358,16,6,120,MASTER,JUNGLE/NONE,19,6,10,12,866,217688,35441,16588,16158,17,7,164,NONE,TOP/SOLO,8,3,7,4,2,685,151558,17876,13693,13508,18,8,90,MASTER,BOTTOM/DUO,13,9,11,5,2,383,226909,40944,17805,17175,18,9,412,DIAMOND,BOTTOM/DUO_SUPPORT,2,9,17,2,1,391,20441,10655,2094,9581,8675,14,10,145,PLATINUM,BOTTOM/DUO,6,7,12,2,1,553,186433,22719,14616,14100,16
1675124457,1370,2,2,0,2,2,1,1,1,0,7,1,1,555,MASTER,BOTTOM/DUO_SUPPORT,5,8,3,2,633,15941,5623,5975,4550,11,2,20,NONE,JUNGLE/NONE,1,9,8,0,265,84948,8823,7312,7025,11,3,145,GOLD,BOTTOM/DUO_CARRY,5,10,1,2,1,611,53568,6131,8620,8350,11,4,122,MASTER,MIDDLE/SOLO,7,5,2,6,865,98887,11344,10580,9758,13,5,13,MASTER,TOP/SOLO,1,8,4,0,1,94868,10890,7967,7935,13,6,498,PLATINUM,BOTTOM/DUO_CARRY,6,3,13,4,624,105887,14495,10673,8875,14,7,497,DIAMOND,BOTTOM/DUO_SUPPORT,3,4,21,2,1,797,15279,6034,8267,7900,13,8,163,NONE,JUNGLE/NONE,20,3,10,8,3,500,130599,30889,13813,9575,15,9,157,NONE,MIDDLE/SOLO,7,3,10,5,2,624,136172,24790,2070,11629,9150,15,10,67,CHALLENGER,TOP/SOLO,4,6,3,2,1,371,62014,8225,7994,7360,13
1674350836,1615,2,1,0,2,2,2,1,5,0,7,1,1,267,NONE,MIDDLE/DUO_SUPPORT,2,4,15,0,550,17799,7485,8191,7860,13,2,240,NONE,TOP/SOLO,4,5,5,3,826,94906,14147,9798,9350,15,3,81,NONE,MIDDLE/DUO,7,5,8,3,2,561,152825,31538,12923,12500,14,4,60,NONE,JUNGLE/NONE,5,10,9,2,366,146142,17070,11241,11375,13,5,38,DIAMOND,MIDDLE/DUO,8,8,6,2,2,80110,14633,10448,9625,14,6,120,CHALLENGER,JUNGLE/NONE,10,7,6,4,354,176457,24183,13039,11808,15,7,122,MASTER,MIDDLE/DUO,6,4,5,3,2,894,126551,12656,11293,9800,16,8,8,MASTER,MIDDLE/DUO,7,4,9,4,1,806,193949,29155,14548,12150,17,9,111,DIAMOND,BOTTOM/DUO_SUPPORT,2,4,13,0,1,534,26825,13748,670,7469,6775,13,10,145,PLATINUM,BOTTOM/DUO_CARRY,7,7,9,4,1,534,98975,14269,11492,11175,13
1674341440,192,2,1,0,0,0,0,0,0,0,0,0,1,122,MASTER,NONE/DUO,1,0,0,0,0,3233,691,1242,1150,2,2,8,MASTER,NONE/DUO,0,0,0,0,0,2937,401,920,500,3,3,412,DIAMOND,NONE/DUO,0,0,0,0,0,0,0,0,668,0,1,4,119,DIAMOND,NONE/DUO,0,1,0,0,149,2385,363,773,650,2,5,121,DIAMOND,NONE/DUO,0,0,0,0,0,10503,0,1166,500,3,6,141,PLATINUM,NONE/DUO,0,0,0,0,0,10493,0,1140,500,3,7,43,NONE,NONE/DUO,1,0,0,0,1,0,3238,715,1174,500,3,8,236,NONE,NONE/DUO,0,0,1,0,0,0,4669,260,1283,500,3,9,41,MASTER,NONE/DUO,0,0,0,0,0,0,2955,0,0,1148,500,3,10,82,MASTER,NONE/DUO,0,1,0,0,0,117,6405,474,945,550,3
1673587029,2051,2,2,0,2,2,2,1,4,0,11,4,1,82,GOLD,JUNGLE/NONE,8,9,7,2,423,180415,22088,13601,13450,16,2,41,MASTER,TOP/SOLO,5,5,12,2,598,224772,23081,12885,12758,17,3,110,DIAMOND,BOTTOM/DUO_CARRY,10,5,8,5,2,784,190424,13107,16142,14525,16,4,164,MASTER,MIDDLE/SOLO,4,6,13,0,713,133215,14943,12762,11458,17,5,98,CHALLENGER,BOTTOM/DUO_SUPPORT,5,8,19,4,1,47890,13386,10899,10775,14,6,81,CHALLENGER,BOTTOM/DUO_CARRY,3,9,2,3,595,205169,21289,13914,13475,17,7,497,NONE,BOTTOM/DUO_SUPPORT,1,6,13,0,1,469,24178,5281,10012,9750,14,8,517,PLATINUM,TOP/DUO_SUPPORT,10,5,5,6,1,698,235337,28001,16057,14450,18,9,122,MASTER,TOP/DUO_CARRY,7,6,5,3,2,580,215438,2381,3399,15911,16700,17,10,91,CHALLENGER,MIDDLE/SOLO,12,6,5,4,1,600,204385,29739,16363,15175,18
